author,year,entry,Energy,dE,XS,dXS
Utsunomiya,2015,K2499002,3640000,0,0.0024400000000000003,0.00010886
Birenbaum,1985,M0488002,5970000,0,0.002162,9.9e-05
Birenbaum,1985,M0488002,7250000,10000,0.001882,1.1e-05
Birenbaum,1985,M0488002,7600000,10000,0.001803,1.6e-05
Birenbaum,1985,M0488002,7640000,0,0.0018100000000000002,2.8e-05
Birenbaum,1985,M0488002,8800000,20000,0.001586,1.1e-05
Birenbaum,1985,M0488002,9000000,0,0.0015700000000000002,3.6e-05
Birenbaum,1985,M0488002,11390000,0,0.0012569999999999999,3.6e-05
Bernabei,1988,M0404004,15300000,200000,0.0009239999999999999,1e-05
Bernabei,1988,M0404004,19100000,200000,0.000625,1.4999999999999999e-05
Crawford,1996,M0518016,100000000,125000,7.088e-05,2.8486e-06
Crawford,1996,M0518016,120000000,150000,6.14e-05,2.4233e-06
Crawford,1996,M0518016,140000000,175000,5.474e-05,2.1848000000000002e-06
Crawford,1996,M0518016,160000000,200000,5.333e-05,2.0469000000000003e-06
Crawford,1996,M0518016,180000000,225000,5.4040000000000004e-05,1.9564e-06
Crawford,1996,M0518016,200000000,250000,5.74e-05,2.0703e-06
Crawford,1996,M0518016,220000000,275000,6.036e-05,2.171e-06
Crawford,1996,M0518016,240000000,300000,6.365e-05,2.2832e-06
Crawford,1996,M0518016,260000000,325000,6.667e-05,2.4362e-06
Crawford,1996,M0518016,280000000,350000,6.632e-05,2.5476e-06
Crawford,1996,M0518016,300000000,375000,6.175e-05,2.3814e-06
Crawford,1996,M0518016,320000000,400000,5.263e-05,1.9087e-06
Crawford,1996,M0518016,340000000,425000,4.3860000000000004e-05,1.6145e-06
Crawford,1996,M0518016,360000000,450000,3.509e-05,1.326e-06
Crawford,1996,M0518016,380000000,475000,2.807e-05,1.1024e-06
Crawford,1996,M0518016,400000000,500000,2.147e-05,9.0259e-07
Crawford,1996,M0518016,420000000,525000,1.6630000000000002e-05,7.6732e-07
Crawford,1996,M0518016,440000000,550000,1.452e-05,7.1293e-07
Crawford,1996,M0518016,460000000,575000,1.214e-05,6.561599999999999e-07
Crawford,1996,M0518016,480000000,600000,1.018e-05,6.139599999999999e-07
Crawford,1996,M0518016,500000000,625000,8.78e-06,5.868799999999999e-07
Crawford,1996,M0518016,520000000,650000,8.210000000000001e-06,5.7669e-07
Crawford,1996,M0518016,540000000,675000,7.65e-06,5.671799999999999e-07
Crawford,1996,M0518016,560000000,700000,7.0200000000000006e-06,5.5711e-07
Crawford,1996,M0518016,580000000,725000,6.11e-06,5.438099999999999e-07
Crawford,1996,M0518016,600000000,750000,5.6100000000000005e-06,5.371699999999999e-07
Crawford,1996,M0518016,620000000,775000,5.05e-06,5.3032e-07
Crawford,1996,M0518016,640000000,800000,4.63e-06,5.256e-07
Crawford,1996,M0518016,660000000,825000,4.21e-06,5.212599999999999e-07
Crawford,1996,M0518016,680000000,850000,3.79e-06,5.173e-07
Crawford,1996,M0518016,700000000,875000,3.37e-06,5.1372e-07
Crawford,1996,M0518016,720000000,900000,3.02e-06,5.1105e-07
Crawford,1996,M0518016,740000000,925000,2.74e-06,5.0911e-07
Crawford,1996,M0518016,760000000,950000,2.24e-06,5.0611e-07
Crawford,1996,M0518016,780000000,975000,1.96e-06,5.0468e-07
Moreh,1989,M0453002,2754000,0,0.0014559999999999998,4.4999999999999996e-05
Shima,2005,M0680007,21000000,819000,0.0005600000000000001,4.0112000000000005e-05
Bernabei,1986,M0405002,14700000,100000,0.0009249999999999999,4.8332000000000004e-05
Bernabei,1986,M0405002,19300000,100000,0.0006169999999999999,3.228e-05
Bernabei,1986,M0405002,28900000,100000,0.000361,1.3416000000000002e-05
Bernabei,1986,M0405002,38200000,100000,0.000249,9.4868e-06
Bernabei,1986,M0405002,47500000,200000,0.000177,6.7082e-06
Bernabei,1986,M0405002,57500000,400000,0.000139,5.831000000000001e-06
Bernabei,1986,M0405002,74000000,500000,9.76e-05,6.0902000000000006e-06
Levisandri,1989,M0570005,98000000,0,6.97e-05,4e-06
Levisandri,1989,M0570005,109000000,0,6.67e-05,3.8e-06
Levisandri,1989,M0570005,143000000,0,5.37e-05,3.2999999999999997e-06
Levisandri,1989,M0570005,191000000,0,6.01e-05,4.1e-06
Levisandri,1989,M0570005,211000000,0,6.56e-05,4.2e-06
Levisandri,1989,M0570005,228000000,0,6.79e-05,5.199999999999999e-06
Levisandri,1989,M0570005,243000000,0,6.89e-05,4.9e-06
Hara,2003,M0668002,2330000,9000,0.000683,5.35e-05
Hara,2003,M0668002,2520000,9000,0.000983,6.1e-05
Hara,2003,M0668002,2790000,11000,0.0014700000000000002,9e-05
Hara,2003,M0668002,3230000,25000,0.00204,0.00013000000000000002
Hara,2003,M0668002,3690000,21000,0.0022900000000000004,0.00014000000000000001
Hara,2003,M0668002,4530000,44000,0.00248,0.00015000000000000001
Hara,2003,M0668002,4580000,30000,0.0024100000000000002,0.00015000000000000001
Aleksandrov,1957,M1001003,54000000,7500000,0.00012936,2.1425000000000002e-05
Aleksandrov,1957,M1001003,70000000,7500000,0.00010554,1.7553e-05
Aleksandrov,1957,M1001003,88000000,7500000,9.076e-05,1.5311e-05
Aleksandrov,1957,M1001003,110000000,7500000,7.798e-05,1.3309e-05
Aleksandrov,1957,M1001003,129000000,7500000,6.202e-05,1.068e-05
Aleksandrov,1957,M1001003,148000000,7500000,6.961e-05,1.1839000000000001e-05
