author,year,entry,Energy,dE,XS,dXS
Trail,1964,11004002,0.01,0,0.00036,3.5712e-05
Firestone,2016,23296027,0.0253,0,0.000489,6e-06
Silk,1969,20460003,0.0253,0,0.0013109999999999999,5.2e-05
Moesner,1986,30973002,25000000.0,0,7.6e-06,8e-07
Mitev,1986,13121003,6850000.0,0,1.15e-05,2.5e-07
Mitev,1986,13121003,9000000.0,0,1.15e-05,2.3e-07
Mitev,1986,13121003,10800000.0,0,1.07e-05,2.5e-07
Mitev,1986,13121003,14000000.0,0,7.98e-06,1.23e-06
Cerineo,1961,30005003,14400000.0,100000,2.94e-05,5.7999999999999995e-06
Alfimenkov,1980,40586004,0.0253,0,0.00047799999999999996,3.5e-05
Merritt,1968,11030002,0.0253,0,0.000521,9e-06
Alfimenkov,1980,405860022,0.0253,0,0.00047599999999999997,2e-05
Silk,1969,20460002,0.0253,0,0.000523,2.9e-05
